race_id,escape_strength,inner_collapse_risk,attack_pressure,race_upset_score,probability_flatness,dynamic_rerank_subset,scenario,result_scenario,winner_course,winner_style,lane1_status,top3_shape,is_outer_chain,is_inner_dominant
2026-07-11_19_03,0.30304436851107186,0.47907265133399124,0.30404819158238744,0.4357288075451636,0.9138146541567833,stable_escape,S5_OUTER_WIN_OR_CHAIN,C6__MAKURI__IN_REMAIN__OUTER_CHAIN,6,MAKURI,IN_REMAIN,OUTER_CHAIN,True,False
2026-07-11_19_04,0.25009292717100445,0.5294071676940788,0.37303375032294267,0.47279796932299384,0.9006638752256696,upset_or_flat,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__CENTER_OUTER,1,ESCAPE,IN_WIN,CENTER_OUTER,False,False
2026-07-11_19_05,0.32586884318972237,0.4955907827131492,0.3566167289783604,0.4407298534616705,0.9092449194927854,stable_escape,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__INNER_TOP3,1,ESCAPE,IN_WIN,INNER_TOP3,False,True
2026-07-11_19_06,0.28555599469259824,0.5313660570495553,0.3857152305712378,0.44925316201374577,0.9385837401064892,attack_or_collapse,S2_C2_WIN_IN_OUT,C2__NUKI__IN_REMAIN__INNER_TOP3,2,NUKI,IN_REMAIN,INNER_TOP3,False,True
2026-07-11_19_07,0.31083145493215236,0.4800159976079112,0.30550319336168485,0.43281335406004884,0.9037959251788532,stable_escape,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__CENTER_OUTER,1,ESCAPE,IN_WIN,CENTER_OUTER,False,False
2026-07-11_19_08,0.3088105871244845,0.49922033551623324,0.35597227391867103,0.4444935863699533,0.9001678133558498,stable_escape,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__OUTER_CHAIN,1,ESCAPE,IN_WIN,OUTER_CHAIN,True,False
2026-07-11_19_09,0.23017818315355715,0.548982357675651,0.3692615772420917,0.4724986380216868,0.9446198586876466,attack_or_collapse,S5_OUTER_WIN_OR_CHAIN,C6__MAKURI__IN_OUT__OUTER_CHAIN,6,MAKURI,IN_OUT,OUTER_CHAIN,True,False
2026-07-11_19_10,0.23721337086615185,0.543553605688256,0.3917536973950741,0.462599878463544,0.898567793805765,attack_or_collapse,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__INNER_TOP3,1,ESCAPE,IN_WIN,INNER_TOP3,False,True
2026-07-11_19_11,0.2634927827712781,0.518283207274751,0.3503281488639578,0.46445757562891427,0.8998001516790103,neutral,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__MIXED,1,ESCAPE,IN_WIN,MIXED,False,False
2026-07-11_19_12,0.31284914436152955,0.49117301211593284,0.33883991829557797,0.4472879659157494,0.9015411142490413,stable_escape,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__INNER_TOP3,1,ESCAPE,IN_WIN,INNER_TOP3,False,True
